DATAFLOW,REF_AREA:Geographic area,INDICATOR:Indicator,SEX:Sex,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,UNIT_MULTIPLIER:Unit multiplier,UNIT_MEASURE:Unit of measure,OBS_STATUS:Observation Status,OBS_CONF:Observation confidentaility,LOWER_BOUND:Lower Bound,UPPER_BOUND:Upper Bound,WGTD_SAMPL_SIZE:Weighted Sample Size,OBS_FOOTNOTE:Observation footnote,SERIES_FOOTNOTE:Series footnote,DATA_SOURCE:Data Source,SOURCE_LINK:Citation of or link to the data source,CUSTODIAN:Custodian,TIME_PERIOD_METHOD:Time period activity related to when the data are collected,REF_PERIOD:Reference Period,COVERAGE_TIME:The period of time for which data are provided,AGE:Current age
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SDGRC_ECA_SA: (SDGRC) Southern Africa,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2020,64.9,0: Units,PCNT: %,RA: Reanalysed,F: Free,,,,,,Population weighted averages calculated by UNICEF using WPP2024 weights,,,EOF: End of fieldwork,,2000-2023,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SDGRC_ECA_SA: (SDGRC) Southern Africa,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2021,65.5,0: Units,PCNT: %,RA: Reanalysed,F: Free,,,,,,Population weighted averages calculated by UNICEF using WPP2024 weights,,,EOF: End of fieldwork,,2000-2023,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SDGRC_ECA_SA: (SDGRC) Southern Africa,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2022,66.1,0: Units,PCNT: %,RA: Reanalysed,F: Free,,,,,,Population weighted averages calculated by UNICEF using WPP2024 weights,,,EOF: End of fieldwork,,2000-2023,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SDGRC_ECA_ALL: (SDGRC) United Nations Economic Commission for Africa,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2018,55.7,0: Units,PCNT: %,RA: Reanalysed,F: Free,,,,,,Population weighted averages calculated by UNICEF using WPP2024 weights,,,EOF: End of fieldwork,,2000-2023,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SDGRC_ECA_ALL: (SDGRC) United Nations Economic Commission for Africa,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2019,56.6,0: Units,PCNT: %,RA: Reanalysed,F: Free,,,,,,Population weighted averages calculated by UNICEF using WPP2024 weights,,,EOF: End of fieldwork,,2000-2023,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SDGRC_ECA_ALL: (SDGRC) United Nations Economic Commission for Africa,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2020,57.5,0: Units,PCNT: %,RA: Reanalysed,F: Free,,,,,,Population weighted averages calculated by UNICEF using WPP2024 weights,,,EOF: End of fieldwork,,2000-2023,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SDGRC_ECA_ALL: (SDGRC) United Nations Economic Commission for Africa,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2021,58.5,0: Units,PCNT: %,RA: Reanalysed,F: Free,,,,,,Population weighted averages calculated by UNICEF using WPP2024 weights,,,EOF: End of fieldwork,,2000-2023,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SDGRC_ECA_ALL: (SDGRC) United Nations Economic Commission for Africa,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2022,59.3,0: Units,PCNT: %,RA: Reanalysed,F: Free,,,,,,Population weighted averages calculated by UNICEF using WPP2024 weights,,,EOF: End of fieldwork,,2000-2023,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SDGRC_ECA_WA: (SDGRC) West Africa,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2018,55.7,0: Units,PCNT: %,RA: Reanalysed,F: Free,,,,,,Population weighted averages calculated by UNICEF using WPP2024 weights,,,EOF: End of fieldwork,,2000-2023,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SDGRC_ECA_WA: (SDGRC) West Africa,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2019,56.8,0: Units,PCNT: %,RA: Reanalysed,F: Free,,,,,,Population weighted averages calculated by UNICEF using WPP2024 weights,,,EOF: End of fieldwork,,2000-2023,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SDGRC_ECA_WA: (SDGRC) West Africa,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2020,57.9,0: Units,PCNT: %,RA: Reanalysed,F: Free,,,,,,Population weighted averages calculated by UNICEF using WPP2024 weights,,,EOF: End of fieldwork,,2000-2023,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SDGRC_ECA_WA: (SDGRC) West Africa,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2021,58.9,0: Units,PCNT: %,RA: Reanalysed,F: Free,,,,,,Population weighted averages calculated by UNICEF using WPP2024 weights,,,EOF: End of fieldwork,,2000-2023,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SDGRC_ECA_WA: (SDGRC) West Africa,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2022,59.7,0: Units,PCNT: %,RA: Reanalysed,F: Free,,,,,,Population weighted averages calculated by UNICEF using WPP2024 weights,,,EOF: End of fieldwork,,2000-2023,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2018,20.9,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Afghanistan Health Survey 2018. Amsterdam: KIT Royal Tropical Institute; 2018.,,,EOF: End of fieldwork,,2010-2023,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2020,27.6,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Afghanistan 2019-2020 Income; Expenditure & Labour Force Survey; National Statistics and Information Authority,,,EOF: End of fieldwork,,2010-2023,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,WHO_AFRO: Africa,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2018,54.3,0: Units,PCNT: %,RA: Reanalysed,F: Free,,,,,,Population weighted averages calculated by UNICEF using WPP2024 weights,,,EOF: End of fieldwork,,2018,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,WHO_AFRO: Africa,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2019,55.3,0: Units,PCNT: %,RA: Reanalysed,F: Free,,,,,,Population weighted averages calculated by UNICEF using WPP2024 weights,,,EOF: End of fieldwork,,2019,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,WHO_AFRO: Africa,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2020,56.2,0: Units,PCNT: %,RA: Reanalysed,F: Free,,,,,,Population weighted averages calculated by UNICEF using WPP2024 weights,,,EOF: End of fieldwork,,2020,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,WHO_AFRO: Africa,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2021,57.3,0: Units,PCNT: %,RA: Reanalysed,F: Free,,,,,,Population weighted averages calculated by UNICEF using WPP2024 weights,,,EOF: End of fieldwork,,2021,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,WHO_AFRO: Africa,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2022,58.1,0: Units,PCNT: %,RA: Reanalysed,F: Free,,,,,,Population weighted averages calculated by UNICEF using WPP2024 weights,,,EOF: End of fieldwork,,2022,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AU_AFRICA: African Union,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2018,55.7,0: Units,PCNT: %,RA: Reanalysed,F: Free,,,,,,Population weighted averages calculated by UNICEF using WPP2024 weights,,,EOF: End of fieldwork,,2000-2023,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AU_AFRICA: African Union,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2019,56.6,0: Units,PCNT: %,RA: Reanalysed,F: Free,,,,,,Population weighted averages calculated by UNICEF using WPP2024 weights,,,EOF: End of fieldwork,,2000-2023,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AU_AFRICA: African Union,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2020,57.5,0: Units,PCNT: %,RA: Reanalysed,F: Free,,,,,,Population weighted averages calculated by UNICEF using WPP2024 weights,,,EOF: End of fieldwork,,2000-2023,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AU_AFRICA: African Union,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2021,58.5,0: Units,PCNT: %,RA: Reanalysed,F: Free,,,,,,Population weighted averages calculated by UNICEF using WPP2024 weights,,,EOF: End of fieldwork,,2000-2023,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AU_AFRICA: African Union,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2022,59.3,0: Units,PCNT: %,RA: Reanalysed,F: Free,,,,,,Population weighted averages calculated by UNICEF using WPP2024 weights,,,EOF: End of fieldwork,,2000-2023,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2018,77.8,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Demographic and Health Survey 2017-2018,,,EOF: End of fieldwork,,2002-2018,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2019,69.8,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Multiple Indicator Cluster Survey 2018-2019,,,EOF: End of fieldwork,,2013-2019,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,WHO_AMRO: Americas,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2018,93.1,0: Units,PCNT: %,RA: Reanalysed,F: Free,,,,,,Population weighted averages calculated by UNICEF using WPP2024 weights,,,EOF: End of fieldwork,,2018,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,WHO_AMRO: Americas,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2019,93.4,0: Units,PCNT: %,RA: Reanalysed,F: Free,,,,,,Population weighted averages calculated by UNICEF using WPP2024 weights,,,EOF: End of fieldwork,,2019,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,WHO_AMRO: Americas,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2020,93.7,0: Units,PCNT: %,RA: Reanalysed,F: Free,,,,,,Population weighted averages calculated by UNICEF using WPP2024 weights,,,EOF: End of fieldwork,,2020,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,WHO_AMRO: Americas,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2021,94.1,0: Units,PCNT: %,RA: Reanalysed,F: Free,,,,,,Population weighted averages calculated by UNICEF using WPP2024 weights,,,EOF: End of fieldwork,,2021,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,WHO_AMRO: Americas,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2022,94.4,0: Units,PCNT: %,RA: Reanalysed,F: Free,,,,,,Population weighted averages calculated by UNICEF using WPP2024 weights,,,EOF: End of fieldwork,,2022,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AUREC_AMU: Arab Maghreb Union (AMU),MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2018,66.1,0: Units,PCNT: %,RA: Reanalysed,F: Free,,,,,,Population weighted averages calculated by UNICEF using WPP2024 weights,,,EOF: End of fieldwork,,2000-2023,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AUREC_AMU: Arab Maghreb Union (AMU),MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2019,67,0: Units,PCNT: %,RA: Reanalysed,F: Free,,,,,,Population weighted averages calculated by UNICEF using WPP2024 weights,,,EOF: End of fieldwork,,2000-2023,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AUREC_AMU: Arab Maghreb Union (AMU),MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2020,68.2,0: Units,PCNT: %,RA: Reanalysed,F: Free,,,,,,Population weighted averages calculated by UNICEF using WPP2024 weights,,,EOF: End of fieldwork,,2000-2023,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AUREC_AMU: Arab Maghreb Union (AMU),MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2021,69.3,0: Units,PCNT: %,RA: Reanalysed,F: Free,,,,,,Population weighted averages calculated by UNICEF using WPP2024 weights,,,EOF: End of fieldwork,,2000-2023,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AUREC_AMU: Arab Maghreb Union (AMU),MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2022,70.6,0: Units,PCNT: %,RA: Reanalysed,F: Free,,,,,,Population weighted averages calculated by UNICEF using WPP2024 weights,,,EOF: End of fieldwork,,2000-2023,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNFPA_AS: Arab States,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2018,64,0: Units,PCNT: %,RA: Reanalysed,F: Free,,,,,,Population weighted averages calculated by UNICEF using WPP2024 weights,,,EOF: End of fieldwork,,2018,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNFPA_AS: Arab States,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2019,64.6,0: Units,PCNT: %,RA: Reanalysed,F: Free,,,,,,Population weighted averages calculated by UNICEF using WPP2024 weights,,,EOF: End of fieldwork,,2019,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNFPA_AS: Arab States,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2020,65.4,0: Units,PCNT: %,RA: Reanalysed,F: Free,,,,,,Population weighted averages calculated by UNICEF using WPP2024 weights,,,EOF: End of fieldwork,,2020,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNFPA_AS: Arab States,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2021,66,0: Units,PCNT: %,RA: Reanalysed,F: Free,,,,,,Population weighted averages calculated by UNICEF using WPP2024 weights,,,EOF: End of fieldwork,,2021,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNFPA_AS: Arab States,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2022,66.9,0: Units,PCNT: %,RA: Reanalysed,F: Free,,,,,,Population weighted averages calculated by UNICEF using WPP2024 weights,,,EOF: End of fieldwork,,2022,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ARG: Argentina,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2020,90.4,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Multiple Indicator Cluster Survey 2019-2020,,,EOF: End of fieldwork,,2005-2020,Y15T49: 15 to 49 years old
